,country,driver,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
0,Algeria,commodity,198,237,321,322,154,436,386,586,640,235,780,1273,434,1228,847,1116,5548,576,478,1643,2441,1129,12336
1,Angola,commodity,3,39,10,14,5,11,13,22,53,41,166,48,84,180,104,121,143,104,104,49,55,73,176
2,Argentina,commodity,70316,51365,143287,282986,223654,185611,272444,394678,198166,277096,342158,311325,214789,130293,112493,128920,118788,98204,78625,111380,117113,127780,133555
3,Australia,commodity,1941,2255,5493,2713,3939,2477,4366,2116,1486,2878,1356,4248,6040,9762,3463,2157,5994,3589,49941,16651,8074,1524,4985
4,Bahamas,commodity,287,498,155,333,1017,638,334,1368,490,187,551,291,1247,746,879,2279,2675,672,1236,2268,1362,452,1077
5,Bangladesh,commodity,63,66,45,47,121,78,6,47,79,35,80,99,219,435,577,802,869,595,791,666,525,444,516
6,Belize,commodity,512,1399,233,395,674,386,519,437,732,859,3248,2084,1510,3166,1926,4014,1654,1212,3340,5886,1353,1161,2338
7,Bolivia,commodity,70002,100312,81763,120922,139842,142083,121893,263247,144255,321346,197337,160927,110440,160290,126175,346435,357974,243594,712714,299985,399881,437907,578360
8,Bonaire Sint Eustatius and Saba,commodity,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
9,Brazil,commodity,1727056,2385285,2278349,2777824,2370223,1803780,1648482,1430831,1027686,1574538,1167394,1703703,1007568,1485294,1336874,3061131,2719452,1706011,1678911,2178216,1948439,2157962,1629101
10,Brunei,commodity,83,25,63,47,57,58,29,48,48,29,57,81,8,61,38,109,96,33,33,19,53,28,19
11,Burkina Faso,commodity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Cambodia,commodity,11484,26283,25145,37502,28437,38866,35769,41182,61145,129303,120024,129704,136628,109044,87203,119304,72636,67585,82937,85510,87603,64594,78276
13,Cameroon,commodity,92,9,0,115,41,54,187,62,103,284,207,152,227,148,73,312,532,248,165,123,286,180,403
14,Canada,commodity,4408,4491,3434,4541,4670,4878,2612,3461,3528,3279,2691,7805,3626,4630,3036,5464,5605,5308,5946,7210,9297,5041,4380
15,Cayman Islands,commodity,19,5,6,46,9,18,16,32,30,38,38,9,18,7,0,70,74,42,10,9,10,25,24
16,Central African Republic,commodity,37,76,117,33,38,49,30,43,46,80,56,70,128,179,84,86,168,45,75,103,86,71,105
17,Chile,commodity,1795,4418,2223,2659,2448,2802,4279,12431,5928,5153,6874,40577,2619,3456,4574,4350,8997,1531,3308,3390,1081,1459,1556
18,China,commodity,132,39,367,252,299,451,405,504,732,337,217,297,451,490,232,706,526,509,584,453,322,422,423
19,Colombia,commodity,34021,39171,18028,52859,36911,36362,72295,59978,38688,37280,49833,37465,36765,53562,32105,55614,108226,121099,64604,96702,74490,73071,34575
20,Costa Rica,commodity,410,246,155,578,1026,182,338,632,552,345,216,143,223,175,67,88,130,116,100,65,60,98,72
21,Côte d'Ivoire,commodity,241,188,146,16,89,158,122,599,468,229,254,127,526,383,444,506,744,503,840,457,478,800,716
22,Cuba,commodity,2035,4258,792,3564,1682,2416,1694,2289,3310,1256,2085,1011,927,1016,1011,1652,17584,3548,1145,2105,1266,920,1241
23,Curaçao,commodity,1,1,0,0,0,3,4,4,2,0,1,3,4,2,1,2,0,1,2,2,4,4,2
24,Democratic Republic of the Congo,commodity,104,32,29,83,535,177,58,1014,540,226,109,169,450,655,123,430,262,327,397,164,538,393,257
25,Dominican Republic,commodity,452,244,167,243,1298,406,321,350,224,340,197,334,1464,989,563,414,323,197,371,1723,260,973,1521
26,Ecuador,commodity,367,251,186,388,907,833,1308,547,1029,155,518,552,458,345,195,164,275,77,132,52,27,52,225
27,Egypt,commodity,3,2,11,3,4,2,6,7,8,16,14,26,17,27,19,19,26,17,6,7,5,9,10
28,El Salvador,commodity,128,164,78,136,121,142,129,119,120,151,163,72,118,102,112,141,121,103,63,72,55,61,63
29,Eritrea,commodity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Ethiopia,commodity,183,37,20,46,163,21,83,221,70,75,90,162,86,133,59,78,75,85,54,52,71,55,51
31,Fiji,commodity,0,0,0,0,0,1,4,35,24,11,16,1,2,7,44,335,0,4,0,6,0,0,0
32,French Guiana,commodity,553,475,535,1321,724,745,979,1561,836,571,668,1640,763,896,632,1222,914,804,846,1050,546,889,1486
33,Gambia,commodity,0,10,2,2,1,1,4,15,0,1,4,1,1,0,0,1,2,1,8,1,6,4,1
34,Ghana,commodity,482,1192,243,97,297,275,585,383,296,92,446,368,886,1161,751,1630,1044,1232,1064,1233,856,1133,1265
35,Guatemala,commodity,3692,3259,14773,4783,12945,5291,17431,10326,12578,4763,3020,5838,4919,6464,8422,25084,5332,4451,7558,20729,4132,5161,13370
36,Guinea,commodity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Guinea-Bissau,commodity,1,27,0,21,3,8,0,3,18,13,0,3,60,29,22,59,133,28,38,37,16,7,44
38,Guyana,commodity,1865,1235,2482,815,1053,1274,1046,1426,1488,1596,1315,2177,955,2008,2411,7497,3069,2873,5171,3195,921,895,5866
39,Haiti,commodity,64,29,17,81,40,19,24,38,28,52,23,36,32,116,9,26,70,63,15,48,17,12,31
40,Honduras,commodity,1902,2241,2221,2144,5006,4862,3409,4113,6054,6757,6393,2406,6438,9485,5802,16066,14367,13592,14714,17575,14385,11106,21364
41,India,commodity,12,11,19,33,15,14,3,29,18,8,39,54,74,106,212,384,337,227,261,228,175,158,214
42,Indonesia,commodity,619309,713473,438369,1128175,1043874,1270948,1212540,1232832,1682178,1118915,1338762,1963050,982505,1591035,1433875,1984612,1053636,973310,940525,777198,688852,731617,1159141
43,Jamaica,commodity,36,57,84,463,1655,212,19,32,78,92,90,31,86,368,91,182,101,54,126,51,45,25,30
44,Kenya,commodity,157,418,240,152,199,131,196,91,153,119,109,101,95,80,109,107,125,121,120,71,60,28,150
45,Laos,commodity,7692,12757,19777,13018,14925,26122,29694,15954,29686,35522,25552,32134,49731,57503,65017,90905,78324,64838,81923,77289,69315,68105,94707
46,Liberia,commodity,22,8,10,0,0,2,1,9,14,1,4,1,13,42,14,12,24,31,12,18,24,30,14
47,Madagascar,commodity,1,1,6,3,1,6,122,6,5,7,2,8,262,574,223,1023,115,309,335,493,453,1544,2981
48,Malawi,commodity,10,8,29,9,71,55,28,25,14,8,25,105,104,79,90,164,294,170,261,196,141,309,661
49,Malaysia,commodity,289552,270059,152081,305421,325072,285035,332934,304605,501806,348057,356512,469758,262752,472879,340787,422709,361864,317059,297966,209352,215510,187983,231984
50,Mali,commodity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Martinique,commodity,21,3,17,13,24,3,10,13,5,1,8,18,16,16,2,0,0,0,1,1,0,0,0
52,Mexico,commodity,30009,27191,34042,33833,40310,46166,44174,41156,70892,31424,38340,42372,56819,33706,49533,59370,76080,59560,68880,72553,43255,40292,72559
53,Montserrat,commodity,1,0,0,7,20,11,10,3,3,108,6,1,1,0,0,6,0,9,3,1,1,1,0
54,Morocco,commodity,28,55,22,31,65,29,83,57,47,30,56,91,18,23,19,31,79,33,34,29,20,2388,725
55,Mozambique,commodity,1,1,1,0,7,5,2,2,7,3,6,5,1,8,8,7,7,16,68,42,80,174,443
56,Myanmar,commodity,4036,6591,7565,10017,11317,10555,14999,13465,20991,16525,12949,16923,18438,25149,23831,32480,29015,24773,27540,28106,30262,25532,32747
57,Namibia,commodity,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
58,New Caledonia,commodity,1,2,0,10,1,0,9,0,1,0,3,1,7,134,3,8,1,21,0,22,7,1,3
59,New Zealand,commodity,26,25,33,12,47,144,94,33,33,66,76,96,122,51,82,82,124,74,24,14,54,58,80
60,Nicaragua,commodity,1428,1786,2292,1496,3128,1730,2373,3284,5280,9178,2256,2395,3999,7553,4923,14652,6505,5993,6097,34962,21495,2436,12889
61,Nigeria,commodity,2398,1183,234,117,289,633,615,679,431,901,2032,730,1735,2697,1057,2566,4661,3152,1062,1916,1927,2688,777
62,Palau,commodity,3,0,0,0,0,0,1,0,0,0,0,2,2,43,0,0,0,0,0,0,0,6,21
63,Panama,commodity,705,645,449,406,645,3007,631,2623,2584,714,1122,579,717,649,736,592,1193,891,1703,1009,928,526,1004
64,Papua New Guinea,commodity,27,22,14,40,12,7,7,11,17,25,46,38,9,77,67,158,317,80,42,32,49,64,108
65,Paraguay,commodity,98917,124669,170338,128216,185865,112942,327645,320395,319355,392023,386340,418518,259388,284811,234131,267532,262780,222138,247928,156798,210053,163057,150688
66,Peru,commodity,17136,16302,15811,19475,31927,18157,20974,30858,37129,30191,28351,58821,51850,51021,37827,49607,59314,44349,50683,53471,51910,54364,50824
67,Philippines,commodity,4054,4422,4312,8102,6911,7114,9543,5944,8024,11759,5604,8056,17203,21548,15369,22651,21464,16340,14011,12455,10596,11135,9522
68,Rwanda,commodity,28,57,61,28,9,6,48,25,14,36,37,34,102,121,125,302,205,418,194,228,176,161,221
69,Saint Kitts and Nevis,commodity,35,12,29,22,15,18,12,18,20,17,11,9,5,4,1,8,4,5,8,10,9,4,3
70,Saint Lucia,commodity,0,0,2,0,2,0,1,1,7,6,1,4,1,0,0,0,1,0,1,1,0,0,3
71,Saint-Martin,commodity,2,5,3,2,4,3,2,1,1,1,9,3,1,1,0,0,1,0,0,2,2,0,0
72,Senegal,commodity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Sierra Leone,commodity,867,1000,411,67,245,1216,407,328,1369,374,835,758,5761,8436,6247,2588,4531,4099,3830,3612,1543,1809,1215
74,Singapore,commodity,18,23,1,2,5,3,8,2,1,1,0,1,1,4,2,3,3,16,58,23,10,29,13
75,Sint Maarten,commodity,1,0,1,1,3,1,1,2,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
76,Solomon Islands,commodity,0,4,1,0,14,2,3,8,0,3,0,3,1,4,76,22,3,0,9,1,1,102,11
77,South Africa,commodity,254,364,107,97,146,519,144,192,1189,250,656,258,830,889,437,190,627,1099,434,310,703,1068,1401
78,South Sudan,commodity,20,6,5,2,1,24,5,1,7,8,8,11,10,10,0,4,16,3,38,6,6,17,2
79,Suriname,commodity,358,426,283,267,258,230,377,585,759,504,322,1202,1063,683,850,669,762,861,908,1028,665,564,1702
80,Tanzania,commodity,94,127,69,87,182,100,399,309,371,244,593,709,619,398,368,377,596,533,619,909,1086,1400,2417
81,Thailand,commodity,8914,13872,12573,20213,25239,20863,21078,15636,30236,26508,17146,15810,18630,35100,30553,42015,55619,36110,31731,28502,30949,26039,36765
82,Trinidad and Tobago,commodity,216,23,144,109,37,59,74,28,26,262,10,44,43,47,38,54,16,46,59,75,3,7,27
83,Tunisia,commodity,3,7,149,2,20,9,9,13,46,30,162,44,21,306,355,255,835,234,21,3,2,180,960
84,Turks and Caicos Islands,commodity,7,4,10,10,21,4,66,56,103,36,14,7,10,26,20,17,27,29,15,33,42,15,23
85,Uganda,commodity,295,68,109,143,312,171,555,292,262,482,351,267,280,345,368,419,656,553,679,795,530,634,761
86,United States,commodity,17997,12173,9985,18466,15477,16712,16545,11050,12330,9185,10966,15371,7416,11779,6490,8894,10567,9369,8148,7476,11721,7842,12033
87,Uruguay,commodity,919,1475,1521,1209,1838,1271,2057,2492,890,1414,3217,2919,2231,1339,968,2372,1628,1460,1673,1991,2493,3258,4528
88,Vanuatu,commodity,0,0,0,0,0,0,0,0,104,0,2,0,2,5,1,1,1,0,0,0,3,7,16
89,Venezuela,commodity,27402,14582,16870,17625,13065,17088,16293,23560,31185,27258,20447,25309,17826,28234,16349,39897,27127,25487,34216,31005,12238,9845,14061
90,Vietnam,commodity,11847,10298,10093,20050,23561,22095,23888,26610,45521,44194,42355,72065,48856,77694,69715,118051,87529,72991,71725,63403,59342,40815,33523
91,Virgin Islands,commodity,47,4,9,6,3,15,6,14,29,12,17,5,4,5,0,1,24,12,4,3,2,4,2
92,Zambia,commodity,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,5,1,4,1,2
93,Zimbabwe,commodity,5,15,16,17,11,4,12,8,14,11,7,7,5,11,8,9,8,4,1,1,2,4,5
94,Afghanistan,forestry,32,68,113,131,103,84,145,60,25,51,29,10,0,1,0,0,0,24,8,29,24,6,11
95,Åland,forestry,389,277,214,732,695,96,242,1268,663,628,460,652,507,546,562,665,728,616,2338,670,1338,1147,1092
96,Albania,forestry,2205,606,416,2155,489,549,2126,2102,867,468,827,2846,1678,797,224,550,1355,1675,834,693,1115,1588,2154
97,Algeria,forestry,500,756,1056,804,873,1204,1132,1576,2595,874,2275,3147,2543,3281,1230,2139,16922,1406,1495,2852,3705,4924,2137
98,Andorra,forestry,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1
99,Angola,forestry,265,29,26,22,110,6,130,58,50,71,71,400,428,667,609,604,798,993,275,461,1154,596,288
100,Argentina,forestry,26950,25608,31058,40335,41275,47978,41366,48536,30085,37456,38589,47846,40176,33945,18449,29925,34280,20919,20951,24706,30032,30138,23209
101,Armenia,forestry,55,70,178,42,68,58,16,57,112,85,100,116,15,23,1,4,6,2,0,4,3,6,78
102,Australia,forestry,67523,72517,125562,86530,92631,102849,165914,93642,150681,75814,77194,78675,130154,135194,115613,267756,145778,124107,541380,859400,123690,74091,66854
103,Austria,forestry,6901,10854,14446,14559,21597,12549,31628,26846,15830,16670,18062,11113,7630,9834,7912,17175,18356,26255,33515,25881,16604,19840,26484
104,Azerbaijan,forestry,242,744,601,234,103,261,307,129,186,220,54,252,27,142,3,2,56,70,5,14,24,55,344
105,Bangladesh,forestry,3314,2564,1567,3305,2591,4749,3097,3584,4733,3869,3286,4631,5299,10551,11294,18893,24034,16615,18801,18262,14724,11545,14656
106,Belarus,forestry,17989,24928,29997,37549,35416,41651,32233,35467,34201,35227,44653,38201,27668,33143,32807,85682,76879,86147,72630,67996,62800,64474,58870
107,Belgium,forestry,842,2143,1846,4713,2874,6760,5862,7003,5013,10511,4866,5544,3294,4159,3299,4353,3976,4474,5188,5092,8748,4647,7333
108,Belize,forestry,48,132,83,57,114,41,215,115,86,112,369,126,196,122,114,532,221,81,202,849,35,71,64
109,Bhutan,forestry,262,172,372,818,606,483,404,676,970,3332,923,678,453,1151,629,1575,1650,869,697,1079,1105,1105,1674
110,Bolivia,forestry,701,1163,1420,2393,2464,2139,820,2331,710,1214,1222,1711,902,1193,423,1080,1102,603,767,463,581,1491,850
111,Bosnia and Herzegovina,forestry,1205,523,266,3119,497,466,1670,1154,844,793,814,1881,1873,1471,518,2004,1118,2248,1098,1497,951,1781,3811
112,Botswana,forestry,6,1,0,0,1,0,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
113,Brazil,forestry,314954,351780,326411,343789,337951,333752,311186,302446,253303,330322,272164,413455,253366,340142,224686,378659,448492,287518,248298,245152,256446,235053,213694
114,Brunei,forestry,1139,1056,715,1109,1135,936,1420,1223,2076,906,2526,1725,868,2133,1674,2426,822,762,1119,1131,880,869,887
115,Bulgaria,forestry,6599,3964,4763,7375,5909,4652,8570,5421,5563,3271,2962,9280,3486,6162,7010,7089,7026,9188,3911,4405,4997,3941,5565
116,Burkina Faso,forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Burundi,forestry,0,0,0,0,0,0,0,0,1,3,0,3,1,107,0,0,0,0,0,0,0,0,4
118,Cambodia,forestry,8499,10669,11434,17377,18302,21280,22905,22596,24897,40956,41238,33607,31431,24965,21104,33136,23848,21796,31292,26782,25948,17553,18870
119,Cameroon,forestry,1191,222,698,94,350,462,1292,562,416,1397,743,807,740,888,408,467,1233,1010,611,653,1144,576,1008
120,Canada,forestry,809582,976327,729748,1200812,1210435,1062890,1051448,794154,728850,811290,781815,966776,749865,865580,1013186,1051766,1319508,1088351,1174422,799859,1169657,987404,1995562
121,Central African Republic,forestry,215,67,21,101,181,110,537,23,369,185,84,139,96,148,69,169,113,64,149,112,121,158,180
122,Chad,forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Chile,forestry,66835,69714,76240,78828,98023,85917,111083,102963,79442,81909,88002,127383,95025,108615,97073,105054,196834,72704,71998,63133,64651,62110,101626
124,China,forestry,188212,210109,186958,394846,335932,460429,600354,682824,553008,571005,567204,571351,426522,516277,481670,700461,623352,550001,477394,402333,520282,601520,591619
125,Colombia,forestry,5026,3923,3529,6072,4886,6438,6469,6333,7225,3953,5119,5957,3741,5784,3592,5225,6902,4917,4643,4519,4042,3713,5027
126,Comoros,forestry,2,0,0,0,0,0,1,0,2,2,0,1,6,3,1,1,5,11,8,8,4,10,3
127,Costa Rica,forestry,397,186,200,654,627,257,487,782,635,242,457,343,623,808,168,486,450,324,427,197,209,207,342
128,Côte d'Ivoire,forestry,1923,2200,1732,522,455,1634,1203,2238,2813,1211,2926,852,2002,1981,977,1055,1810,1649,1244,1747,1384,830,870
129,Croatia,forestry,3133,2034,1423,5962,2491,1994,2743,3163,2412,3005,2609,4575,2812,4263,2160,4901,5159,7346,5533,5671,4870,7365,10293
130,Cuba,forestry,3535,2587,1421,6742,3516,2489,1691,3889,4511,2232,4438,2094,1743,1871,2066,3250,31667,4690,2607,4890,2353,896,2146
131,Cyprus,forestry,1,3,2,5,1,4,2,3,2,2,3,2,0,4,0,102,26,18,4,14,1,3,3
132,Czech Republic,forestry,3435,6695,3901,13296,25462,8561,21164,16737,13455,15371,21723,13885,7607,13826,7986,22689,26415,38909,72031,98713,56034,34674,24359
133,Democratic Republic of the Congo,forestry,2532,2501,906,2400,2796,2246,2785,1421,3709,2874,1713,3043,4836,5678,4401,6765,6248,5568,5622,6256,5150,5384,5041
134,Denmark,forestry,4120,1153,1544,2307,8809,5106,4298,5876,6463,4275,3019,4309,1947,5187,2435,4489,4224,3041,8880,3093,4567,3224,3937
135,Dominican Republic,forestry,403,672,312,458,437,407,592,647,612,365,266,914,721,652,989,468,470,321,388,763,529,455,627
136,Ecuador,forestry,1223,395,212,735,656,886,544,614,869,353,539,794,769,431,289,677,661,569,529,498,305,531,613
137,Egypt,forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,El Salvador,forestry,13,7,0,29,9,15,42,8,31,37,8,7,4,3,5,29,7,5,10,3,1,6,10
139,Equatorial Guinea,forestry,0,0,0,1,16,1,0,1,8,14,2,0,2,6,0,3,8,1,4,0,12,1,1
140,Estonia,forestry,16868,21916,5632,18100,14798,21719,16177,18290,18817,21494,27197,17682,17081,23572,25413,36328,38850,40017,45910,36788,33997,39192,36155
141,Ethiopia,forestry,39,68,49,99,252,57,111,131,151,78,120,166,158,194,120,224,226,217,224,228,252,206,271
142,Fiji,forestry,920,482,1233,1231,1249,1367,1605,1531,991,1164,320,698,1736,2251,1141,2897,2161,767,936,1411,5672,701,591
143,Finland,forestry,150225,141554,89068,145336,229638,180423,150988,199596,174268,166581,158199,159238,147831,185720,171906,239403,335168,269151,288646,253649,266029,254865,241628
144,France,forestry,32517,32730,24547,73152,44691,52741,47490,83373,65074,140903,62459,65111,29464,43013,36252,58942,65168,66982,78307,73767,109673,56629,84855
145,Gabon,forestry,44,53,112,36,25,3,156,54,144,96,48,84,124,174,43,164,71,43,48,39,61,50,55
146,Georgia,forestry,275,220,104,961,220,239,380,163,119,399,191,200,67,34,15,192,87,99,86,143,231,203,745
147,Germany,forestry,14940,15046,6329,44392,39057,42034,92574,60923,28274,74466,33693,25518,15254,20513,12710,26480,32468,51307,105994,184697,201236,85764,122515
148,Ghana,forestry,25,26,9,6,41,14,13,6,13,5,4,10,16,27,14,27,27,58,22,27,16,24,39
149,Greece,forestry,6064,2682,1290,4164,2254,3303,6781,4970,3086,3372,3294,6269,1797,2483,1973,2876,4022,3336,3388,2638,3655,4222,40326
150,Guatemala,forestry,2545,3632,3018,2944,3941,2251,5270,3600,4078,2518,2105,2896,1783,1945,1746,4769,2820,2396,2307,3191,2146,1725,2320
151,Guinea,forestry,96,25,9,10,21,20,29,19,62,18,5,281,485,590,420,691,599,710,526,783,501,435,611
152,Guinea-Bissau,forestry,10,42,0,13,2,14,16,11,109,49,16,28,231,117,128,152,99,131,120,159,131,128,81
153,Haiti,forestry,23,12,8,10,9,0,8,39,11,4,12,81,1,3,18,4,5,4,1,4,1,2,3
154,Honduras,forestry,22,50,35,113,78,132,107,71,51,72,61,40,186,234,248,75,85,70,225,66,92,36,68
155,Hong Kong,forestry,5,14,6,17,6,6,10,22,41,10,10,7,3,23,19,22,78,90,19,57,21,41,56
156,Hungary,forestry,7464,7638,5688,11911,10297,7921,9219,8839,9949,11122,8159,11764,8896,14985,10616,13902,13974,13688,14250,11895,13657,14707,19650
157,India,forestry,49691,41868,37578,58877,48967,49422,54543,62595,57393,40906,59528,73872,71076,122543,107651,159081,166339,113799,101820,118737,118341,104415,116050
158,Indonesia,forestry,91111,102536,79857,116211,103195,115364,124145,119374,207227,124531,153805,212159,118161,223939,217950,319397,183126,186636,175462,139583,114075,116002,186203
159,Iran,forestry,20,54,15,11,23,16,17,110,21,31,28,14,2,13,0,1,16,30,67,2,16,80,124
160,Ireland,forestry,8537,4903,2177,6380,7693,4889,10895,6564,6816,3598,2828,5523,4580,5573,4377,9174,5866,8091,10046,6007,8515,6608,6702
161,Isle of Man,forestry,14,9,2,7,7,25,25,0,38,41,11,30,15,37,8,11,15,12,20,6,14,13,7
162,Israel,forestry,129,101,25,53,128,112,39,57,78,75,1050,41,40,113,48,58,94,20,38,45,24,71,60
163,Italy,forestry,7457,9180,2873,14537,9310,7186,9073,10880,11790,14277,9659,18310,12446,17133,12058,20673,25861,32316,56359,25809,22183,24876,41185
164,Jamaica,forestry,53,61,32,155,467,129,29,82,213,172,85,105,96,69,66,70,107,74,61,69,63,32,71
165,Japan,forestry,23079,25188,19318,35911,35268,37958,44323,39551,40061,34833,35008,44282,22675,27526,30679,53895,46615,49585,50521,47233,47805,53185,50359
166,Kazakhstan,forestry,1529,1192,1157,2483,2124,1287,2766,2881,2641,1757,3293,1566,2110,515,162,984,753,937,1093,1577,592,3255,17765
167,Kenya,forestry,2383,2405,1683,1141,1284,1630,2524,1615,1125,1171,1817,2113,2010,1988,3176,3728,4007,1653,1052,1234,383,395,1067
168,Kosovo,forestry,998,208,255,542,293,465,709,1089,719,453,749,1572,745,738,457,871,613,582,679,928,508,768,1431
169,Kyrgyzstan,forestry,233,26,3,28,3,2,23,9,8,140,37,7,0,0,0,0,2,0,4,2,5,12,42
170,Laos,forestry,16529,24602,39377,28978,29467,52401,61208,37477,69498,75590,61512,67677,86192,101886,119751,169163,151506,126103,154061,151574,136608,139633,186786
171,Latvia,forestry,24900,29169,21317,30635,40710,38880,36111,29303,34893,48489,44730,34274,27760,32196,30820,44928,47076,46869,57358,50379,48404,57103,54485
172,Lebanon,forestry,265,77,59,93,267,135,165,383,322,107,132,155,136,140,154,248,258,234,370,448,618,544,478
173,Lesotho,forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174,Liberia,forestry,76,325,96,12,20,94,192,118,213,44,157,203,206,410,348,357,484,458,346,507,257,305,262
175,Libya,forestry,0,2,0,1,2,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
176,Liechtenstein,forestry,3,0,0,9,6,12,8,9,5,3,2,4,2,3,1,5,4,7,12,3,1,2,1
177,Lithuania,forestry,7955,10337,8906,13088,20362,17440,16023,15177,14399,21645,21720,17563,13916,15962,15784,25506,25769,19736,24542,22947,22616,23704,24748
178,Luxembourg,forestry,69,90,103,311,68,366,502,984,216,880,448,444,348,430,327,521,413,458,509,655,1055,321,913
179,Macao,forestry,1,1,0,0,0,3,4,3,2,1,1,1,0,1,1,0,4,1,3,1,0,1,16
180,Macedonia,forestry,1542,773,780,1699,1176,1788,2166,2853,3060,1921,1895,2380,879,1587,705,1344,1055,1423,1604,1673,2192,2213,2677
181,Madagascar,forestry,116,113,94,246,175,40,164,76,201,112,292,186,268,439,258,312,543,517,453,396,344,350,243
182,Malawi,forestry,48,203,291,532,541,460,673,1022,61,158,1145,936,454,658,405,654,422,379,174,389,510,530,453
183,Malaysia,forestry,39549,39375,30023,42291,46235,45152,68848,59302,111877,77031,93802,144410,64316,163559,107877,131861,112826,113541,91669,55998,58920,56795,72027
184,Maldives,forestry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
185,Mauritius,forestry,29,39,36,53,26,31,30,46,49,6,149,27,46,147,0,0,0,0,0,0,0,0,0
186,Mayotte,forestry,0,0,1,0,0,0,0,0,0,0,0,4,12,16,0,0,1,1,2,2,1,8,0
187,Mexico,forestry,6485,7738,7450,5516,8621,5704,6738,6228,9734,4833,6182,5447,7298,5804,7181,9919,9812,8105,9779,8863,5244,5431,7205
188,Micronesia,forestry,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Moldova,forestry,112,173,83,222,89,146,179,117,152,145,136,1563,138,319,427,743,955,786,722,1264,981,987,1306
190,Mongolia,forestry,7992,3364,4475,3980,1371,1454,2035,5255,4474,1696,411,1059,41,13,0,508,943,48,199,7,33,3,88
191,Montenegro,forestry,773,155,186,796,153,155,954,1278,497,189,427,1085,1937,1176,171,1048,1182,1421,592,770,481,1133,1617
192,Morocco,forestry,606,994,503,546,536,612,662,1026,298,358,851,578,395,820,465,1019,866,695,380,925,454,5352,1115
193,Mozambique,forestry,243,565,294,431,220,899,621,909,531,441,287,522,1155,645,854,817,1134,455,930,485,482,567,524
194,Myanmar,forestry,16295,22380,23843,34119,31043,38775,50006,37465,63516,57323,43573,73144,80998,97401,90383,105119,97039,80118,91524,92096,90325,75526,92994
195,Namibia,forestry,2,3,3,1,1,0,1,4,1,1,3,0,0,0,0,0,1,0,0,0,1,0,1
196,Nepal,forestry,1143,1482,1565,1567,2089,2290,2361,1942,3617,1535,2260,3689,696,793,540,893,1781,1387,1655,1906,2299,1729,2027
197,Netherlands,forestry,508,585,236,1199,1246,1293,1373,936,1280,2951,962,788,459,748,753,1157,1084,1069,2009,1576,2085,1028,1377
198,New Caledonia,forestry,184,93,113,131,170,44,91,42,139,111,100,60,402,318,102,261,175,133,99,156,56,44,206
199,New Zealand,forestry,48360,61186,43186,58744,50313,59684,59738,58080,56851,53065,57368,66460,73610,71087,61642,75898,72524,76548,68687,58786,64395,56481,48462
200,Nicaragua,forestry,425,117,220,300,150,171,240,192,210,376,25,287,196,209,67,61,78,37,17,42,24,34,44
201,Nigeria,forestry,1562,2101,182,146,364,515,742,497,375,769,1094,487,1124,1458,426,1031,1337,979,317,935,1387,795,925
202,North Korea,forestry,11246,4912,6665,10262,15470,11529,12748,15931,11590,17633,5120,15776,4708,10675,10689,11112,8292,7536,25163,14247,13518,8901,10040
203,Northern Cyprus,forestry,14,3,2,5,2,5,8,15,14,4,2,2,6,19,0,1,0,0,1,0,0,525,37
